date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:43:55	10179/10179	---M--	200	added ('OK')	image/jpeg	etag:%2227c3-5ac1bbde0f622%22	https://2.wlimg.com/product_images/bc-small/2020/8/7416829/organic-cashew-nuts-1596610033-5543741.jpeg	http://www.prathaptraders.co.in/cashew/2.wlimg.com/product_images/bc-small/2020/8/7416829/organic-cashew-nuts-1596610033-5543741.jpg	(from http://www.prathaptraders.co.in/)
20:43:55	6868/6868	---M--	200	added ('OK')	image/jpeg	etag:%221ad4-5ac1bbf754a4a%22	https://2.wlimg.com/product_images/bc-small/2020/8/7416829/scorched-cashew-nuts-1596610059-5543743.jpeg	http://www.prathaptraders.co.in/cashew/2.wlimg.com/product_images/bc-small/2020/8/7416829/scorched-cashew-nuts-1596610059-5543743.jpg	(from http://www.prathaptraders.co.in/)
20:43:56	15518/15518	---M--	200	added ('OK')	image/jpeg	etag:%223c9e-5ac1bc10160be%22	https://2.wlimg.com/product_images/bc-small/2020/8/7416829/split-cashew-nuts-1596610085-5543746.jpeg	http://www.prathaptraders.co.in/cashew/2.wlimg.com/product_images/bc-small/2020/8/7416829/split-cashew-nuts-1596610085-5543746.jpg	(from http://www.prathaptraders.co.in/)
20:43:57	22813/22813	---M--	200	added ('OK')	image/jpeg	etag:%22591d-5acd06178c7e1%22	https://2.wlimg.com/product_images/bc-small/2020/8/7416829/masala-cashew-nuts-1597385872-5554175.jpeg	http://www.prathaptraders.co.in/cashew/2.wlimg.com/product_images/bc-small/2020/8/7416829/masala-cashew-nuts-1597385872-5554175.jpg	(from http://www.prathaptraders.co.in/)
20:43:59	1997/1997	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2015:13:59%20GMT	http://www.prathaptraders.co.in/products.rss	http://www.prathaptraders.co.in/cashew/www.prathaptraders.co.in/products.html	(from http://www.prathaptraders.co.in/)
20:44:00	454/454	---M--	200	added ('OK')	image/png	etag:%221c6-548153c6f6640%22	https://catalog.wlimg.com/templates-images/12569/common/rss_icon.png	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/common/rss_icon.png	(from http://www.prathaptraders.co.in/)
20:44:01	3658/3658	---M--	200	added ('OK')	image/png	etag:%22e4a-54fda65075f00%22	https://catalog.wlimg.com/main-common/ei.png	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/main-common/ei.png	(from http://www.prathaptraders.co.in/)
20:44:04	86338/86338	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2015:14:02%20GMT	http://www.prathaptraders.co.in/thanks.htm	http://www.prathaptraders.co.in/cashew/www.prathaptraders.co.in/thanks.htm	(from http://www.prathaptraders.co.in/)
20:44:05	88697/88697	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2015:14:02%20GMT	http://www.prathaptraders.co.in/about-us.htm	http://www.prathaptraders.co.in/cashew/www.prathaptraders.co.in/about-us.htm	(from http://www.prathaptraders.co.in/)
20:44:05	1911/1911	---M--	200	added ('OK')	image/jpeg	etag:%22777-5638504b00d00%22	https://catalog.wlimg.com/templates-images/12569/12572/bg1.jpg	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/bg1.jpg	(from http://www.prathaptraders.co.in/cashew-nuts.htm)
20:44:05	2072/2072	---M--	200	added ('OK')	image/jpeg	etag:%22818-5638504b00d00%22	https://catalog.wlimg.com/templates-images/12569/12572/bg3.jpg	http://www.prathaptraders.co.in/cashew/catalog.wlimg.com/templates-images/12569/12572/bg3.jpg	(from http://www.prathaptraders.co.in/cashew-nuts.htm)
20:44:06	26947/26947	---M--	200	added ('OK')	image/jpeg	etag:%226943-5ac1bbc28e039%22	https://2.wlimg.com/product_images/bc-small/2020/8/7416829/natural-cashew-nuts-1596610004-5543738.jpeg	http://www.prathaptraders.co.in/cashew/2.wlimg.com/product_images/bc-small/2020/8/7416829/natural-cashew-nuts-1596610004-5543738.jpg	(from http://www.prathaptraders.co.in/cashew-nuts.htm)
20:44:07	42250/42250	---M--	200	added ('OK')	image/jpeg	etag:%22a50a-5ac1bbc28f7aa%22	https://2.wlimg.com/product_images/bc-full/2020/8/7416829/natural-cashew-nuts-1596610004-5543738.jpeg	http://www.prathaptraders.co.in/cashew/2.wlimg.com/product_images/bc-full/2020/8/7416829/natural-cashew-nuts-1596610004-5543738.jpg	(from http://www.prathaptraders.co.in/natural-cashew-nuts.htm)
20:44:09	21044/21044	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2015:14:08%20GMT	http://www.prathaptraders.co.in/enquiry-form-10019.htm?product_slno=2748575	http://www.prathaptraders.co.in/cashew/www.prathaptraders.co.in/enquiry-form-10019384d.html	(from http://www.prathaptraders.co.in/natural-cashew-nuts.htm)
20:44:09	14977/14977	---M--	200	added ('OK')	image/jpeg	etag:%223a81-5ac1bbde105c3%22	https://2.wlimg.com/product_images/bc-full/2020/8/7416829/organic-cashew-nuts-1596610033-5543741.jpeg	http://www.prathaptraders.co.in/cashew/2.wlimg.com/product_images/bc-full/2020/8/7416829/organic-cashew-nuts-1596610033-5543741.jpg	(from http://www.prathaptraders.co.in/organic-cashew-nuts.htm)
20:44:10	21044/21044	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2015:14:10%20GMT	http://www.prathaptraders.co.in/enquiry-form-10019.htm?product_slno=2748576	http://www.prathaptraders.co.in/cashew/www.prathaptraders.co.in/enquiry-form-10019315a.html	(from http://www.prathaptraders.co.in/organic-cashew-nuts.htm)
